Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14
0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,500;0,000;0,000;0,000;0,0000;0,000;0,000
0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;-0,157;0,0000;0,000;-0,004;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,550;0,000;0,000;0,000;0,0000;0,000;0,000
0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;-4,084;0,0000;0,000;-0,097;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;-0,016;-0,157;0,0000;-3,750E-4;-0,004;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,600;0,000;0,000;0,314;0,0000;0,000;0,007
0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;-0,408;-10,367;0,0000;-0,010;-0,248;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;-0,002;-0,016;0,157;-3,7500E-5;-3,750E-4;0,004;0,650;0,000;0,000;0,157;0,0000;0,000;0,004;0,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,650;0,000;0,031;8,325;0,0000;7,500E-4;0,199
0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;-0,041;-1,037;1,728;-9,7500E-4;-0,025;0,041;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;0,000;0,000;0,157;0,0000;0,000;0,004;0,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,700;-0,002;0,000;0,157;-3,7500E-5;0,000;0,004;0,700;0,000;0,016;9,582;0,0000;3,750E-4;0,229;0,700;0,000;0,000;0,942;0,0000;0,000;0,023;0,700;0,003;0,833;40,212;7,5000E-5;0,020;0,960
0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,750;-0,104;-0,236;36,285;-0,0025;-0,006;0,866;0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,750;0,000;0,000;0,471;0,0000;0,000;0,011;0,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,750;0,000;0,016;6,126;0,0000;3,750E-4;0,146;0,750;0,000;0,000;0,628;0,0000;0,000;0,015;0,750;-0,002;0,000;0,000;-3,7500E-5;0,000;0,000;0,750;0,002;0,958;41,312;3,7500E-5;0,023;0,986;0,750;0,000;0,094;7,383;0,0000;0,002;0,176;0,750;0,083;4,053;89,693;0,0020;0,097;2,141
0,800;0,000;0,000;0,000;0,0000;0,000;0,000;0,800;0,000;0,000;0,000;0,0000;0,000;0,000;0,800;-0,064;2,592;77,912;-0,0015;0,062;1,860;0,800;0,000;0,000;0,000;0,0000;0,000;0,000;0,800;0,000;0,000;0,157;0,0000;0,000;0,004;0,800;0,000;0,000;0,000;0,0000;0,000;0,000;0,800;0,000;0,047;3,770;0,0000;0,001;0,090;0,800;0,000;0,000;0,000;0,0000;0,000;0,000;0,800;0,002;0,613;20,735;3,7500E-5;0,015;0,495;0,800;0,000;0,063;10,367;0,0000;0,002;0,247;0,800;-0,002;0,000;0,314;-3,7500E-5;0,000;0,007;0,800;0,096;4,147;83,881;0,0023;0,099;2,002;0,800;0,009;0,738;24,662;2,2500E-4;0,018;0,589;0,800;0,408;9,802;120,637;0,0097;0,234;2,880
0,850;0,000;0,000;0,000;0,0000;0,000;0,000;0,850;0,000;0,000;0,000;0,0000;0,000;0,000;0,850;0,156;7,556;117,967;0,0037;0,180;2,816;0,850;0,000;0,000;0,000;0,0000;0,000;0,000;0,850;0,000;0,016;5,027;0,0000;3,750E-4;0,120;0,850;0,000;0,000;1,414;0,0000;0,000;0,034;0,850;0,005;0,377;9,896;1,1250E-4;0,009;0,236;0,850;0,000;0,000;14,294;0,0000;0,000;0,341;0,850;0,061;2,089;36,443;0,0015;0,050;0,870;0,850;0,006;1,037;39,898;1,5000E-4;0,025;0,952;0,850;-0,002;0,031;5,498;-3,7500E-5;7,500E-4;0,131;0,850;0,416;9,346;113,412;0,0099;0,223;2,707;0,850;0,074;2,560;52,150;0,0018;0,061;1,245;0,850;1,063;16,116;118,281;0,0254;0,385;2,824
0,900;0,000;0,000;0,000;0,0000;0,000;0,000;0,900;0,000;0,000;0,000;0,0000;0,000;0,000;0,900;0,691;14,389;137,916;0,0165;0,344;3,293;0,900;0,000;0,000;5,027;0,0000;0,000;0,120;0,900;0,002;0,503;29,688;3,7500E-5;0,012;0,709;0,900;0,000;0,141;9,896;0,0000;0,003;0,236;0,900;0,038;1,037;20,263;9,0000E-4;0,025;0,484;0,900;0,000;1,429;60,633;0,0000;0,034;1,448;0,900;0,210;4,257;41,312;0,0050;0,102;0,986;0,900;0,104;4,053;77,440;0,0025;0,097;1,849;0,900;0,002;0,550;28,903;3,7500E-5;0,013;0,690;0,900;1,030;15,488;125,035;0,0246;0,370;2,985;0,900;0,265;5,953;79,639;0,0063;0,142;1,901;0,900;2,020;21,630;98,489;0,0482;0,516;2,351
0,950;0,000;0,000;0,000;0,0000;0,000;0,000;0,950;0,000;0,000;0,000;0,0000;0,000;0,000;0,950;1,594;21,347;124,250;0,0381;0,510;2,966;0,950;0,000;0,503;25,447;0,0000;0,012;0,608;0,950;0,050;2,985;69,115;0,0012;0,071;1,650;0,950;0,014;0,990;24,662;3,3750E-4;0,024;0,589;0,950;0,108;2,403;41,469;0,0026;0,057;0,990;0,950;0,143;6,063;107,285;0,0034;0,145;2,561;0,950;0,487;6,220;25,290;0,0116;0,149;0,604;0,950;0,412;8,781;106,029;0,0098;0,210;2,531;0,950;0,053;2,922;72,571;0,0013;0,070;1,733;0,950;1,965;21,850;120,323;0,0469;0,522;2,873;0,950;0,669;10,524;95,033;0,0160;0,251;2,269;0,950;3,226;25,965;69,743;0,0770;0,620;1,665
1,000;0,000;0,000;4,555;0,0000;0,000;0,109;1,000;0,000;0,000;0,000;0,0000;0,000;0,000;1,000;2,826;26,814;83,409;0,0675;0,640;1,991;1,000;0,050;2,545;58,591;0,0012;0,061;1,399;1,000;0,300;7,414;93,934;0,0072;0,177;2,242;1,000;0,099;2,608;41,783;0,0024;0,062;0,997;1,000;0,278;5,184;73,670;0,0066;0,124;1,759;1,000;0,606;12,158;110,741;0,0145;0,290;2,644;1,000;0,833;6,786;-1,728;0,0199;0,162;-0,041;1,000;0,982;14,656;125,035;0,0234;0,350;2,985;1,000;0,294;7,807;108,071;0,0070;0,186;2,580;1,000;3,215;27,520;95,976;0,0768;0,657;2,291;1,000;1,318;15,457;97,704;0,0315;0,369;2,332;1,000;4,617;28,604;34,715;0,1102;0,683;0,829
1,050;0,000;0,456;30,159;0,0000;0,011;0,720;1,050;0,000;0,000;0,471;0,0000;0,000;0,011;1,050;4,276;29,688;30,788;0,1021;0,709;0,735;1,050;0,254;6,362;84,823;0,0061;0,152;2,025;1,050;0,792;12,378;92,520;0,0189;0,295;2,209;1,050;0,275;5,168;77,912;0,0066;0,123;1,860;1,050;0,627;9,770;100,688;0,0150;0,233;2,404;1,050;1,359;17,137;84,038;0,0324;0,409;2,006;1,050;1,166;6,048;-19,635;0,0278;0,144;-0,469;1,050;1,877;21,284;125,193;0,0448;0,508;2,989;1,050;0,834;13,729;114,197;0,0199;0,328;2,726;1,050;4,717;31,447;56,077;0,1126;0,751;1,339;1,050;2,215;20,295;87,022;0,0529;0,484;2,077;1,050;6,087;29,437;0,628;0,1453;0,703;0,015
1,100;0,046;3,016;74,142;0,0011;0,072;1,770;1,100;0,000;0,047;16,336;0,0000;0,001;0,390;1,100;5,795;29,892;-9,896;0,1383;0,714;-0,236;1,100;0,686;11,027;94,091;0,0164;0,263;2,246;1,100;1,538;16,666;72,728;0,0367;0,398;1,736;1,100;0,616;10,399;143,728;0,0147;0,248;3,431;1,100;1,255;15,252;103,516;0,0300;0,364;2,471;1,100;2,320;20,562;52,308;0,0554;0,491;1,249;1,100;1,437;4,822;-24,819;0,0343;0,115;-0,592;1,100;3,110;27,175;95,662;0,0743;0,649;2,284;1,100;1,667;19,227;101,474;0,0398;0,459;2,422;1,100;6,360;33,128;16,493;0,1518;0,791;0,394;1,100;3,347;24,159;60,790;0,0799;0,577;1,451;1,100;7,560;28,667;-23,876;0,1805;0,684;-0,570
1,150;0,302;7,870;99,117;0,0072;0,188;2,366;1,150;0,005;1,634;64,560;1,1250E-4;0,039;1,541;1,150;7,265;28,698;-24,976;0,1734;0,685;-0,596;1,150;1,357;15,771;94,719;0,0324;0,376;2,261;1,150;2,458;19,651;50,108;0,0587;0,469;1,196;1,150;1,315;19,541;176,401;0,0314;0,466;4,211;1,150;2,152;20,122;82,938;0,0514;0,480;1,980;1,150;3,415;22,368;22,934;0,0815;0,534;0,547;1,150;1,648;3,566;-25,604;0,0393;0,085;-0,611;1,150;4,595;30,850;49,009;0,1097;0,736;1,170;1,150;2,757;23,876;77,754;0,0658;0,570;1,856;1,150;8,030;33,097;-13,509;0,1917;0,790;-0,322;1,150;4,631;26,374;31,416;0,1105;0,630;0,750;1,150;8,954;27,049;-31,887;0,2137;0,646;-0,761
1,200;0,833;12,928;89,535;0,0199;0,309;2,138;1,200;0,163;6,503;109,956;0,0039;0,155;2,625;1,200;8,665;27,395;-28,589;0,2068;0,654;-0,682;1,200;2,264;20,499;90,635;0,0540;0,489;2,164;1,200;3,503;21,677;32,201;0,0836;0,518;0,769;1,200;2,570;28,039;117,967;0,0614;0,669;2,816;1,200;3,267;23,546;48,223;0,0780;0,562;1,151;1,200;4,557;22,855;4,398;0,1088;0,546;0,105;1,200;1,794;2,262;-25,604;0,0428;0,054;-0,611;1,200;6,195;32,076;5,812;0,1479;0,766;0,139;1,200;4,054;27,002;43,197;0,0968;0,645;1,031;1,200;9,670;31,777;-43,668;0,2309;0,759;-1,042;1,200;5,985;27,300;15,394;0,1429;0,652;0,368;1,200;10,265;25,478;-38,485;0,2451;0,608;-0,919
1,250;1,594;16,823;63,774;0,0381;0,402;1,522;1,250;0,655;12,629;113,097;0,0156;0,302;2,700;1,250;10,004;25,840;-34,243;0,2388;0,617;-0,818;1,250;3,407;24,834;74,613;0,0813;0,593;1,781;1,250;4,626;22,871;18,221;0,1104;0,546;0,435;1,250;4,119;31,337;21,206;0,0983;0,748;0,506;1,250;4,507;24,944;14,294;0,1076;0,596;0,341;1,250;5,700;22,808;-1,414;0,1361;0,545;-0,034;1,250;1,874;1,005;-18,221;0,0447;0,024;-0,435;1,250;7,802;31,432;-27,960;0,1863;0,750;-0,667;1,250;5,457;28,196;8,011;0,1303;0,673;0,191;1,250;11,208;28,730;-76,655;0,2676;0,686;-1,830;1,250;7,361;27,913;10,996;0,1757;0,666;0,263;1,250;11,501;23,201;-61,575;0,2746;0,554;-1,470
1,300;2,515;19,305;37,385;0,0600;0,461;0,892;1,300;1,426;17,813;94,248;0,0340;0,425;2,250;1,300;11,248;23,970;-42,883;0,2685;0,572;-1,024;1,300;4,747;27,960;44,768;0,1133;0,667;1,069;1,300;5,790;23,499;8,796;0,1382;0,561;0,210;1,300;5,704;30,159;-45,239;0,1362;0,720;-1,080;1,300;5,762;24,976;-0,785;0,1375;0,596;-0,019;1,300;6,838;22,714;-3,770;0,1632;0,542;-0,090;1,300;1,894;0,440;0,942;0,0452;0,011;0,022;1,300;9,338;29,280;-53,407;0,2229;0,699;-1,275;1,300;6,874;27,803;-13,980;0,1641;0,664;-0,334;1,300;12,543;24,112;-109,328;0,2994;0,576;-2,610;1,300;8,776;28,400;-2,670;0,2095;0,678;-0,064;1,300;12,585;19,321;-87,808;0,3004;0,461;-2,096
1,350;3,525;20,562;14,608;0,0841;0,491;0,349;1,350;2,436;22,054;68,801;0,0582;0,526;1,642;1,350;12,401;21,551;-65,188;0,2961;0,514;-1,556;1,350;6,203;29,311;11,938;0,1481;0,700;0,285;1,350;6,976;23,750;2,513;0,1665;0,567;0,060;1,350;7,135;26,814;-65,188;0,1703;0,640;-1,556;1,350;7,004;24,866;-2,356;0,1672;0,594;-0,056;1,350;7,972;22,431;-13,038;0,1903;0,535;-0,311;1,350;1,918;1,100;21,520;0,0458;0,026;0,514;1,350;10,730;26,091;-76,027;0,2562;0,623;-1,815;1,350;8,237;26,798;-19,007;0,1966;0,640;-0,454;1,350;13,619;17,797;-137,759;0,3251;0,425;-3,289;1,350;10,201;27,646;-35,029;0,2435;0,660;-0,836;1,350;13,433;14,420;-101,474;0,3207;0,344;-2,423
