Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
79,200;3,244;0,051;0,010;0,0774375;0,001;2,344E-4;1,0;1,0388336;79,200;2,553;0,024;-1,743E-15;0,0609375;5,625E-4;-4,161E-17;0,7;0,6893768;79,200;2,920;0,035;-0,010;0,0697125;8,437E-4;-2,344E-4;2,0;1,9597473;79,200;3,068;0,035;0,010;0,0732375;8,437E-4;2,344E-4;0,7;0,7379150;3,960;-0,554;-0,157;-5,232E-13;-0,0132375;-0,004;-1,249E-14;0,1;0,0775604
79,400;3,253;0,055;-2,776E-15;0,0776625;0,001;-8,674E-17;0,7;0,6608734;79,400;2,557;0,020;-0,020;0,0610500;4,687E-4;-4,688E-4;0,8;0,7941132;79,400;2,928;0,031;-0,010;0,0699000;7,500E-4;-2,344E-4;1,9;1,9432373;79,400;3,074;0,039;0,010;0,0733875;9,375E-4;2,344E-4;1,0;1,0168915;3,970;-0,556;-0,157;-5,232E-13;-0,0132750;-0,004;-1,249E-14;0,1;0,0761871
79,600;3,266;0,051;-0,010;0,0779625;0,001;-2,344E-4;0,3;0,2688293;79,600;2,560;0,016;-0,010;0,0611250;3,750E-4;-2,344E-4;1,2;1,1794128;79,600;2,933;0,031;0,010;0,0700125;7,500E-4;2,344E-4;1,3;1,3455200;79,600;3,083;0,039;-0,010;0,0736125;9,375E-4;-2,344E-4;1,2;1,2320709;3,980;-0,558;-0,157;3,497E-13;-0,0133125;-0,004;8,327E-15;0,1;0,0769958
79,800;3,274;0,051;0,020;0,0781500;0,001;4,688E-4;0,1;0,1366882;79,800;2,564;0,016;1,396E-15;0,0612000;3,750E-4;3,320E-17;1,8;1,8176422;79,800;2,941;0,035;-0,010;0,0702000;8,437E-4;-2,344E-4;0,7;0,6633148;79,800;3,090;0,035;0,010;0,0737625;8,437E-4;2,344E-4;1,2;1,2156372;3,990;-0,559;-0,157;3,497E-13;-0,0133500;-0,004;8,327E-15;0,1;0,0752716
80,000;3,286;0,059;-1,769E-15;0,0784500;0,001;-2,168E-17;0,1;0,1301880;80,000;2,567;0,016;-1,396E-15;0,0612750;3,750E-4;-3,320E-17;2,6;2,6067963;80,000;2,947;0,027;-0,020;0,0703500;6,563E-4;-4,688E-4;0,4;0,4152374;80,000;3,098;0,043;0,010;0,0739500;0,001;2,344E-4;1,0;1,0404510;4,000;-0,561;-0,157;-3,927;-0,0133875;-0,004;-0,094;0,1;0,0775604
80,200;3,297;0,051;-0,029;0,0787125;0,001;-7,031E-4;0,1;0,1223450;80,200;2,570;0,016;-1,396E-15;0,0613500;3,750E-4;-3,320E-17;3,6;3,6130829;80,200;2,952;0,027;0,010;0,0704625;6,562E-4;2,344E-4;0,3;0,3426971;80,200;3,107;0,039;-0,020;0,0741750;9,375E-4;-4,688E-4;0,8;0,7864380;4,010;-0,562;-0,236;-3,927;-0,0134250;-0,006;-0,094;0,1;0,0735474
80,400;3,307;0,047;0,000;0,0789375;0,001;0,000;0,2;0,1600342;80,400;2,573;0,016;0,010;0,0614250;3,750E-4;2,344E-4;5,3;5,2551422;80,400;2,958;0,031;0,010;0,0706125;7,500E-4;2,344E-4;0,3;0,2705078;80,400;3,113;0,035;-2,776E-15;0,0743250;8,437E-4;-8,674E-17;0,5;0,4944916;4,020;-0,565;-0,236;3,927;-0,0135000;-0,006;0,094;0,1;0,0748596
80,600;3,316;0,051;0,020;0,0791625;0,001;4,688E-4;0,3;0,2848816;80,600;2,576;0,020;0,010;0,0615000;4,687E-4;2,344E-4;7,6;7,6349030;80,600;2,964;0,031;-0,010;0,0707625;7,500E-4;-2,344E-4;0,3;0,2531738;80,600;3,121;0,039;0,010;0,0745125;9,375E-4;2,344E-4;0,3;0,3435822;4,030;-0,567;-0,157;3,927;-0,0135375;-0,004;0,094;0,1;0,0727234
80,800;3,327;0,055;0,010;0,0794250;0,001;2,344E-4;0,4;0,3712921;80,800;2,581;0,020;-0,010;0,0616125;4,688E-4;-2,344E-4;10,7;10,6578064;80,800;2,970;0,027;2,793E-15;0,0709125;6,563E-4;6,641E-17;0,3;0,2621002;80,800;3,129;0,039;-0,010;0,0747000;9,375E-4;-2,344E-4;0,3;0,2547302;4,040;-0,569;-0,157;0,000;-0,0135750;-0,004;0,000;0,1;0,0725250
81,000;3,338;0,055;-0,020;0,0796875;0,001;-4,688E-4;0,3;0,2953949;81,000;2,584;0,016;-1,743E-15;0,0616875;3,750E-4;-4,161E-17;14,1;14,1133881;81,000;2,975;0,031;0,029;0,0710250;7,500E-4;7,031E-4;0,3;0,2990875;81,000;3,137;0,035;-0,020;0,0748875;8,437E-4;-4,688E-4;0,3;0,2515564;4,050;-0,570;-0,157;-3,927;-0,0136125;-0,004;-0,094;0,1;0,0705414
81,200;3,349;0,047;-0,020;0,0799500;0,001;-4,688E-4;0,2;0,2307587;81,200;2,587;0,020;0,010;0,0617625;4,687E-4;2,344E-4;19,9;19,8627930;81,200;2,983;0,039;0,010;0,0712125;9,375E-4;2,344E-4;0,4;0,3864594;81,200;3,143;0,031;0,010;0,0750375;7,500E-4;2,344E-4;0,3;0,3139343;4,060;-0,572;-0,236;6,981E-13;-0,0136500;-0,006;1,232E-14;0,1;0,0702820
81,400;3,357;0,047;0,039;0,0801375;0,001;9,375E-4;0,1;0,1235657;81,400;2,592;0,020;-0,010;0,0618750;4,687E-4;-2,344E-4;24,2;24,1553040;81,400;2,991;0,035;-0,020;0,0714000;8,437E-4;-4,687E-4;0,7;0,6711121;81,400;3,149;0,039;0,039;0,0751875;9,375E-4;9,375E-4;0,4;0,3596344;4,070;-0,575;-0,157;7,854;-0,0137250;-0,004;0,187;0,1;0,0687561
81,600;3,368;0,063;0,010;0,0804000;0,001;2,344E-4;0,1;0,1467285;81,600;2,595;0,016;-0,020;0,0619500;3,750E-4;-4,687E-4;26,2;26,1711121;81,600;2,997;0,031;-0,010;0,0715500;7,500E-4;-2,344E-4;1,0;0,9724731;81,600;3,159;0,047;0,020;0,0754125;0,001;4,688E-4;0,5;0,4612122;4,080;-0,575;-0,079;-6,981E-13;-0,0137250;-0,002;-1,232E-14;0,1;0,0672913
81,800;3,382;0,051;-0,069;0,0807375;0,001;-0,002;0,1;0,1382446;81,800;2,598;0,012;-0,010;0,0620250;2,813E-4;-2,344E-4;26,9;26,9391479;81,800;3,003;0,031;0,010;0,0717000;7,500E-4;2,344E-4;1,4;1,4395447;81,800;3,168;0,047;-0,010;0,0756375;0,001;-2,344E-4;0,5;0,5216675;4,090;-0,576;-0,157;-3,927;-0,0137625;-0,004;-0,094;0,1;0,0702820
82,000;3,388;0,035;-0,020;0,0808875;8,437E-4;-4,688E-4;0,2;0,1716461;82,000;2,600;0,012;0,010;0,0620625;2,813E-4;2,344E-4;26,5;26,5370941;82,000;3,010;0,035;0,020;0,0718500;8,437E-4;4,687E-4;1,6;1,6442871;82,000;3,178;0,043;-0,020;0,0758625;0,001;-4,688E-4;0,5;0,5146179;4,100;-0,578;-0,157;3,927;-0,0138000;-0,004;0,094;0,1;0,0677490
82,200;3,396;0,043;0,039;0,0810750;0,001;9,375E-4;0,2;0,2296600;82,200;2,603;0,016;-1,050E-15;0,0621375;3,750E-4;-2,507E-17;24,8;24,8307800;82,200;3,018;0,039;-0,010;0,0720375;9,375E-4;-2,344E-4;1,1;1,1495209;82,200;3,186;0,039;-0,010;0,0760500;9,375E-4;-2,344E-4;0,4;0,4428253;4,110;-0,580;-0,079;7,854;-0,0138375;-0,002;0,188;0,1;0,0688171
82,400;3,405;0,051;0,039;0,0813000;0,001;9,375E-4;0,4;0,3699799;82,400;2,606;0,012;-0,020;0,0622125;2,812E-4;-4,687E-4;20,9;20,9237671;82,400;3,025;0,031;-0,029;0,0722250;7,500E-4;-7,031E-4;0,7;0,6965485;82,400;3,193;0,039;0,010;0,0762375;9,375E-4;2,344E-4;0,3;0,3120728;4,120;-0,580;0,000;1,749E-13;-0,0138375;0,000;4,163E-15;0,1;0,0662231
82,600;3,416;0,059;-0,020;0,0815625;0,001;-4,687E-4;0,3;0,3036804;82,600;2,608;0,008;1,050E-15;0,0622500;1,875E-4;2,507E-17;16,7;16,7011261;82,600;3,030;0,027;0,020;0,0723375;6,562E-4;4,688E-4;0,4;0,4053192;82,600;3,201;0,043;6,262E-15;0,0764250;0,001;1,699E-16;0,2;0,2195435;4,130;-0,580;-0,079;-15,708;-0,0138375;-0,002;-0,375;0,1;0,0685577
82,800;3,429;0,043;-0,039;0,0818625;0,001;-9,375E-4;0,2;0,2144012;82,800;2,609;0,012;0,010;0,0622875;2,813E-4;2,344E-4;13,2;13,2443695;82,800;3,036;0,039;0,039;0,0724875;9,375E-4;9,375E-4;0,3;0,2510834;82,800;3,211;0,039;-0,029;0,0766500;9,375E-4;-7,031E-4;0,2;0,2085724;4,140;-0,581;-0,314;-7,854;-0,0138750;-0,007;-0,188;0,1;0,0657654
83,000;3,434;0,043;0,029;0,0819750;0,001;7,031E-4;0,1;0,1035767;83,000;2,612;0,012;-0,010;0,0623625;2,813E-4;-2,344E-4;10,5;10,4697418;83,000;3,046;0,043;-0,020;0,0727125;0,001;-4,688E-4;0,2;0,1941986;83,000;3,217;0,031;-0,010;0,0768000;7,500E-4;-2,344E-4;0,2;0,2247467;4,150;-0,586;-0,236;11,781;-0,0139875;-0,006;0,281;0,1;0,0677948
83,200;3,446;0,055;0,010;0,0822750;0,001;2,344E-4;0,1;0,0928345;83,200;2,614;0,008;-1,050E-15;0,0624000;1,875E-4;-2,507E-17;8,6;8,6155396;83,200;3,054;0,031;-0,029;0,0729000;7,500E-4;-7,031E-4;0,2;0,1900024;83,200;3,223;0,035;-2,793E-15;0,0769500;8,437E-4;-6,641E-17;0,3;0,2981110;4,160;-0,586;-0,079;3,927;-0,0139875;-0,002;0,094;0,1;0,0677948
83,400;3,456;0,047;-0,029;0,0825000;0,001;-7,031E-4;0,1;0,0977020;83,400;2,615;0,012;0,020;0,0624375;2,812E-4;4,687E-4;6,9;6,9297333;83,400;3,058;0,031;0,000;0,0730125;7,500E-4;0,000;0,2;0,1801300;83,400;3,231;0,031;-0,010;0,0771375;7,500E-4;-2,344E-4;0,4;0,3902435;4,170;-0,587;-0,157;-11,781;-0,0140250;-0,004;-0,281;0,1;0,0700378
83,600;3,465;0,043;0,010;0,0827250;0,001;2,344E-4;0,1;0,1053009;83,600;2,619;0,016;0,010;0,0625125;3,750E-4;2,344E-4;6,2;6,2078705;83,600;3,066;0,031;-0,010;0,0732000;7,500E-4;-2,344E-4;0,2;0,2080994;83,600;3,236;0,031;0,020;0,0772500;7,500E-4;4,688E-4;0,6;0,5629578;4,180;-0,589;-0,314;-7,854;-0,0140625;-0,008;-0,188;0,1;0,0719147
83,800;3,473;0,051;0,029;0,0829125;0,001;7,031E-4;0,2;0,1656647;83,800;2,622;0,016;1,396E-15;0,0625875;3,750E-4;7,657E-17;6,2;6,2364197;83,800;3,071;0,027;2,793E-15;0,0733125;6,563E-4;6,641E-17;0,4;0,3546448;83,800;3,244;0,039;0,020;0,0774375;9,375E-4;4,688E-4;0,7;0,7438965;4,190;-0,594;-0,314;11,781;-0,0141750;-0,008;0,281;0,1;0,0759888
84,000;3,486;0,055;-1,769E-15;0,0832125;0,001;-2,168E-17;0,4;0,3623962;84,000;2,625;0,016;-0,010;0,0626625;3,750E-4;-2,344E-4;6,3;6,3462677;84,000;3,077;0,031;0,010;0,0734625;7,500E-4;2,344E-4;0,7;0,7350311;84,000;3,252;0,039;-3,487E-15;0,0776250;9,375E-4;-8,321E-17;0,9;0,8891754;4,200;-0,595;-0,079;11,781;-0,0142125;-0,002;0,281;0,1;0,0779724
84,200;3,495;0,051;-0,020;0,0834375;0,001;-4,688E-4;0,6;0,5521698;84,200;2,628;0,012;-0,020;0,0627375;2,812E-4;-4,688E-4;6,4;6,3542633;84,200;3,083;0,031;-2,793E-15;0,0736125;7,500E-4;-6,641E-17;1,1;1,0664062;84,200;3,259;0,039;0,010;0,0778125;9,375E-4;2,344E-4;0,9;0,9073944;4,210;-0,595;-0,079;-7,854;-0,0142125;-0,002;-0,188;0,1;0,0834656
84,400;3,506;0,047;-0,010;0,0837000;0,001;-2,344E-4;0,5;0,5025482;84,400;2,630;0,008;0,010;0,0627750;1,875E-4;2,344E-4;6,2;6,2204437;84,400;3,090;0,031;-0,010;0,0737625;7,500E-4;-2,344E-4;1,2;1,2144623;84,400;3,267;0,043;0,010;0,0780000;0,001;2,344E-4;0,8;0,7888641;4,220;-0,597;-0,236;-15,708;-0,0142500;-0,006;-0,375;0,1;0,0904236
84,600;3,514;0,047;0,010;0,0838875;0,001;2,344E-4;0,4;0,3792572;84,600;2,631;0,016;0,029;0,0628125;3,750E-4;7,031E-4;5,8;5,7643585;84,600;3,096;0,027;2,793E-15;0,0739125;6,562E-4;6,641E-17;1,0;0,9971313;84,600;3,277;0,043;-0,020;0,0782250;0,001;-4,687E-4;0,6;0,5619659;4,230;-0,600;-0,393;-3,927;-0,0143250;-0,009;-0,094;0,1;0,1014709
84,800;3,525;0,051;0,020;0,0841500;0,001;4,688E-4;0,1;0,1480865;84,800;2,636;0,020;4,172E-15;0,0629250;4,688E-4;1,199E-16;5,6;5,5572815;84,800;3,101;0,031;0,010;0,0740250;7,500E-4;2,344E-4;0,8;0,7868042;84,800;3,285;0,035;-0,029;0,0784125;8,437E-4;-7,031E-4;0,4;0,3824158;4,240;-0,605;-0,314;7,854;-0,0144375;-0,008;0,188;0,1;0,1123047
85,000;3,534;0,055;-7,321E-15;0,0843750;0,001;-1,952E-16;0,1;0,1076813;85,000;2,639;0,016;-0,010;0,0630000;3,750E-4;-2,344E-4;5,6;5,6474457;85,000;3,109;0,031;-0,020;0,0742125;7,500E-4;-4,688E-4;0,5;0,5008087;85,000;3,291;0,031;-3,140E-15;0,0785625;7,500E-4;-7,508E-17;0,2;0,2434540;4,250;-0,606;-0,236;6,994E-13;-0,0144750;-0,006;1,232E-14;0,1;0,1341705
85,200;3,547;0,051;-0,020;0,0846750;0,001;-4,688E-4;0,1;0,0968628;85,200;2,642;0,016;-1,396E-15;0,0630750;3,750E-4;-3,320E-17;6,6;6,6284180;85,200;3,113;0,024;-2,793E-15;0,0743250;5,625E-4;-6,641E-17;0,3;0,3332062;85,200;3,297;0,035;0,039;0,0787125;8,437E-4;9,375E-4;0,2;0,1743164;4,260;-0,609;-0,314;-3,927;-0,0145500;-0,007;-0,094;0,2;0,1518250
85,400;3,555;0,047;0,010;0,0848625;0,001;2,344E-4;0,1;0,0879059;85,400;2,645;0,016;0,000;0,0631500;3,750E-4;0,000;8,2;8,2458038;85,400;3,118;0,031;0,020;0,0744375;7,500E-4;4,687E-4;0,2;0,2416534;85,400;3,305;0,047;0,029;0,0789000;0,001;7,031E-4;0,2;0,1880188;4,270;-0,613;-0,314;7,854;-0,0146250;-0,008;0,187;0,2;0,1620483
85,600;3,566;0,055;0,010;0,0851250;0,001;2,344E-4;0,1;0,1189270;85,600;2,648;0,016;-0,010;0,0632250;3,750E-4;-2,344E-4;10,0;9,9685364;85,600;3,126;0,031;2,793E-15;0,0746250;7,500E-4;6,641E-17;0,2;0,1920166;85,600;3,316;0,047;-0,020;0,0791625;0,001;-4,687E-4;0,2;0,2063599;4,280;-0,616;-0,157;19,635;-0,0147000;-0,004;0,469;0,2;0,1572571
85,800;3,577;0,051;-0,029;0,0853875;0,001;-7,031E-4;0,1;0,1231384;85,800;2,652;0,012;-0,010;0,0633000;2,813E-4;-2,344E-4;13,3;13,2547607;85,800;3,131;0,031;0,020;0,0747375;7,500E-4;4,688E-4;0,2;0,1582794;85,800;3,324;0,039;-0,020;0,0793500;9,375E-4;-4,687E-4;0,3;0,2511749;4,290;-0,616;0,079;7,854;-0,0147000;0,002;0,188;0,2;0,1680450
86,000;3,586;0,043;-0,029;0,0856125;0,001;-7,031E-4;0,1;0,1118469;86,000;2,653;0,012;0,010;0,0633375;2,813E-4;2,344E-4;16,1;16,0725098;86,000;3,138;0,039;-2,793E-15;0,0749250;9,375E-4;-6,641E-17;0,2;0,1593323;86,000;3,332;0,039;-3,487E-15;0,0795375;9,375E-4;-8,321E-17;0,3;0,3024902;4,300;-0,614;0,000;-15,708;-0,0146625;0,000;-0,375;0,2;0,1884918
86,200;3,594;0,039;0,020;0,0858000;9,375E-4;4,687E-4;0,1;0,0966339;86,200;2,656;0,016;0,010;0,0634125;3,750E-4;2,344E-4;20,8;20,7790985;86,200;3,146;0,031;-0,029;0,0751125;7,500E-4;-7,031E-4;0,2;0,1605225;86,200;3,340;0,039;0,010;0,0797250;9,375E-4;2,344E-4;0,4;0,3549957;4,310;-0,616;-0,236;-3,927;-0,0147000;-0,006;-0,094;0,2;0,1801453
86,400;3,602;0,051;0,039;0,0859875;0,001;9,375E-4;0,1;0,0733337;86,400;2,659;0,016;0,010;0,0634875;3,750E-4;2,344E-4;33,1;33,1224365;86,400;3,151;0,027;0,010;0,0752250;6,562E-4;2,344E-4;0,2;0,1930847;86,400;3,347;0,043;0,020;0,0799125;0,001;4,688E-4;0,3;0,3125000;4,320;-0,619;-0,079;19,635;-0,0147750;-0,002;0,469;0,2;0,1737976
86,600;3,614;0,055;-0,010;0,0862875;0,001;-2,344E-4;0,1;0,0764618;86,600;2,663;0,020;0,010;0,0635625;4,688E-4;2,344E-4;52,3;52,2719879;86,600;3,157;0,035;0,020;0,0753750;8,437E-4;4,688E-4;0,3;0,3085785;86,600;3,357;0,047;3,834E-15;0,0801375;0,001;9,162E-17;0,2;0,2251434;4,330;-0,617;0,157;-3,490E-13;-0,0147375;0,004;-8,327E-15;0,2;0,1898193
86,800;3,624;0,047;4,892E-15;0,0865125;0,001;1,166E-16;0,1;0,0806885;86,800;2,667;0,020;-0,010;0,0636750;4,688E-4;-2,344E-4;61,7;61,6631012;86,800;3,165;0,035;3,140E-15;0,0755625;8,437E-4;7,508E-17;0,5;0,4592590;86,800;3,366;0,043;-0,020;0,0803625;0,001;-4,688E-4;0,2;0,1916809;4,340;-0,616;-0,079;-31,416;-0,0147000;-0,002;-0,750;0,2;0,2069092
87,000;3,633;0,055;0,029;0,0867375;0,001;7,031E-4;0,1;0,0914917;87,000;2,670;0,016;-0,010;0,0637500;3,750E-4;-2,344E-4;73,1;73,1264038;87,000;3,171;0,035;-3,140E-15;0,0757125;8,437E-4;-7,508E-17;0,5;0,5039215;87,000;3,374;0,039;0,010;0,0805500;9,375E-4;2,344E-4;0,2;0,1520386;4,350;-0,619;-0,471;-15,708;-0,0147750;-0,011;-0,375;0,2;0,2112732
87,200;3,646;0,059;-4,892E-15;0,0870375;0,001;-1,166E-16;0,2;0,2133789;87,200;2,673;0,016;-1,396E-15;0,0638250;3,750E-4;-3,320E-17;94,2;94,2434692;87,200;3,179;0,035;-0,020;0,0759000;8,437E-4;-4,688E-4;0,4;0,3886108;87,200;3,382;0,047;0,020;0,0807375;0,001;4,687E-4;0,2;0,1516113;4,360;-0,625;-0,393;23,562;-0,0149250;-0,009;0,563;0,2;0,2253113
87,400;3,657;0,055;-0,020;0,0873000;0,001;-4,687E-4;0,4;0,3704376;87,400;2,677;0,016;-0,010;0,0639000;3,750E-4;-2,344E-4;99,8;99,7803345;87,400;3,186;0,027;-0,010;0,0760500;6,562E-4;-2,344E-4;0,3;0,3083649;87,400;3,393;0,047;-0,010;0,0810000;0,001;-2,344E-4;0,2;0,1794281;4,370;-0,627;0,000;27,489;-0,0149625;0,000;0,656;0,2;0,2296906
87,600;3,668;0,051;-0,010;0,0875625;0,001;-2,344E-4;0,3;0,3402405;87,600;2,680;0,012;-0,010;0,0639750;2,812E-4;-2,344E-4;99,8;99,7839661;87,600;3,190;0,031;0,020;0,0761625;7,500E-4;4,688E-4;0,2;0,1850739;87,600;3,401;0,043;-0,010;0,0811875;0,001;-2,344E-4;0,2;0,2419128;4,380;-0,625;0,157;-11,781;-0,0149250;0,004;-0,281;0,2;0,2333527
87,800;3,677;0,051;0,010;0,0877875;0,001;2,344E-4;0,3;0,2616730;87,800;2,681;0,012;0,010;0,0640125;2,813E-4;2,344E-4;99,7;99,7463379;87,800;3,198;0,035;0,010;0,0763500;8,437E-4;2,344E-4;0,1;0,1272583;87,800;3,410;0,043;0,010;0,0814125;0,001;2,344E-4;0,3;0,2990723;4,390;-0,624;-0,236;-47,124;-0,0148875;-0,006;-1,125;0,3;0,2527771
88,000;3,688;0,055;0,010;0,0880500;0,001;2,344E-4;0,1;0,1097717;88,000;2,684;0,016;-1,050E-15;0,0640875;3,750E-4;-2,507E-17;92,9;92,8621216;88,000;3,204;0,035;0,010;0,0765000;8,437E-4;2,344E-4;0,1;0,1070557;88,000;3,418;0,047;0,020;0,0816000;0,001;4,687E-4;0,3;0,3385925;4,400;-0,630;-0,785;-23,562;-0,0150375;-0,019;-0,563;0,3;0,2525787
88,200;3,699;0,055;-0,020;0,0883125;0,001;-4,688E-4;0,1;0,0730286;88,200;2,688;0,012;-0,020;0,0641625;2,812E-4;-4,688E-4;74,6;74,5547485;88,200;3,212;0,039;0,010;0,0766875;9,375E-4;2,344E-4;0,1;0,1111450;88,200;3,429;0,051;-0,010;0,0818625;0,001;-2,344E-4;0,4;0,3594818;4,410;-0,639;-0,707;35,343;-0,0152625;-0,017;0,844;0,2;0,2396545
88,400;3,710;0,047;-0,029;0,0885750;0,001;-7,031E-4;0,1;0,0729370;88,400;2,689;0,008;0,000;0,0642000;1,875E-4;0,000;61,3;61,3331757;88,400;3,220;0,039;-0,010;0,0768750;9,375E-4;-2,344E-4;0,1;0,1202240;88,400;3,438;0,043;-0,020;0,0820875;0,001;-4,688E-4;0,3;0,3068237;4,420;-0,644;-0,079;51,051;-0,0153750;-0,002;1,219;0,2;0,2418976
88,600;3,718;0,043;0,020;0,0887625;0,001;4,688E-4;0,1;0,0726318;88,600;2,691;0,012;0,010;0,0642375;2,812E-4;2,344E-4;44,4;44,3745880;88,600;3,228;0,035;-0,020;0,0770625;8,437E-4;-4,687E-4;0,1;0,1488037;88,600;3,446;0,043;3,834E-15;0,0822750;0,001;9,162E-17;0,2;0,2323914;4,430;-0,641;0,314;7,854;-0,0153000;0,008;0,187;0,2;0,2401581
88,800;3,728;0,055;0,039;0,0889875;0,001;9,375E-4;0,1;0,0788727;88,800;2,694;0,012;1,050E-15;0,0643125;2,813E-4;2,507E-17;32,5;32,5093842;88,800;3,234;0,031;3,140E-15;0,0772125;7,500E-4;7,508E-17;0,2;0,2289581;88,800;3,456;0,043;-0,010;0,0825000;0,001;-2,344E-4;0,2;0,1658020;4,440;-0,638;0,079;-39,270;-0,0152250;0,002;-0,937;0,2;0,2219086
89,000;3,740;0,059;-0,010;0,0892875;0,001;-2,344E-4;0,1;0,1272888;89,000;2,695;0,012;0,010;0,0643500;2,813E-4;2,344E-4;23,4;23,4246826;89,000;3,241;0,035;0,010;0,0773625;8,437E-4;2,344E-4;0,5;0,4678650;89,000;3,464;0,039;-3,834E-15;0,0826875;9,375E-4;-9,162E-17;0,2;0,1517029;4,450;-0,639;-0,471;-27,489;-0,0152625;-0,011;-0,656;0,2;0,2179871
89,200;3,751;0,051;-5,239E-15;0,0895500;0,001;-3,795E-17;0,2;0,1637573;89,200;2,699;0,016;0,010;0,0644250;3,750E-4;2,344E-4;17,3;17,2863312;89,200;3,248;0,035;-3,140E-15;0,0775500;8,437E-4;-7,508E-17;0,8;0,7538147;89,200;3,471;0,043;-7,112E-16;0,0828750;0,001;3,524E-18;0,2;0,1628418;4,460;-0,647;-0,471;23,562;-0,0154500;-0,011;0,562;0,2;0,2059326
89,400;3,760;0,059;0,029;0,0897750;0,001;7,031E-4;0,1;0,1097260;89,400;2,702;0,016;0,000;0,0645000;3,750E-4;0,000;13,8;13,7728882;89,400;3,255;0,035;0,010;0,0777000;8,437E-4;2,344E-4;0,9;0,8846893;89,400;3,481;0,039;-0,010;0,0831000;9,375E-4;-2,344E-4;0,2;0,1919708;4,470;-0,649;0,000;27,489;-0,0154875;0,000;0,656;0,2;0,1847229
89,600;3,775;0,063;-0,029;0,0901125;0,001;-7,031E-4;0,1;0,0730133;89,600;2,705;0,016;-0,010;0,0645750;3,750E-4;-2,344E-4;11,9;11,8578796;89,600;3,263;0,039;-0,010;0,0778875;9,375E-4;-2,344E-4;0,6;0,6068268;89,600;3,487;0,039;0,020;0,0832500;9,375E-4;4,688E-4;0,3;0,2675629;4,480;-0,647;0,079;-15,708;-0,0154500;0,002;-0,375;0,2;0,1741943
89,800;3,786;0,047;-0,059;0,0903750;0,001;-0,001;0,1;0,0754395;89,800;2,708;0,012;-0,010;0,0646500;2,813E-4;-2,344E-4;11,0;10,9810181;89,800;3,270;0,031;-0,029;0,0780750;7,500E-4;-7,031E-4;0,4;0,3799744;89,800;3,497;0,047;0,029;0,0834750;0,001;7,031E-4;0,4;0,3733368;4,490;-0,647;-0,314;-31,416;-0,0154500;-0,008;-0,750;0,2;0,1503906
90,000;3,793;0,039;0,010;0,0905625;9,375E-4;2,344E-4;0,1;0,0753479;90,000;2,710;0,012;0,010;0,0646875;2,813E-4;2,344E-4;10,1;10,0820007;90,000;3,275;0,027;0,020;0,0781875;6,563E-4;4,687E-4;0,3;0,2817383;90,000;3,506;0,051;-6,974E-15;0,0837000;0,001;-1,870E-16;0,5;0,4748993;4,500;-0,653;-0,550;3,927;-0,0156000;-0,013;0,094;0,1;0,1423645
90,200;3,801;0,051;0,039;0,0907500;0,001;9,375E-4;0,1;0,0740814;90,200;2,713;0,016;-1,050E-15;0,0647625;3,750E-4;-2,507E-17;9,3;9,2553101;90,200;3,281;0,039;0,020;0,0783375;9,375E-4;4,687E-4;0,2;0,1709900;90,200;3,517;0,047;-0,010;0,0839625;0,001;-2,344E-4;0,4;0,4401855;4,510;-0,658;-0,236;35,343;-0,0157125;-0,006;0,844;0,1;0,1322327
